ts,probe_type,seq,event_detected,event_keys,wifi_up,ping_ok,ping_rtt_ms,dns_all_ok,dns_latency_max_ms,rtt_avg_ms,loss_pct,throughput_avg_mbps,detail
2026-04-21T06:52:32.646204+00:00,fast,1,False,,True,True,60.5,True,113.3,,,,
2026-04-21T06:52:32.352029+00:00,telemetry,,False,,,,,,,53.186,0.0,,
2026-04-21T06:52:34.556084+00:00,fast,2,False,,True,True,57.3,True,70.54,,,,
2026-04-21T06:52:36.551416+00:00,fast,3,False,,True,True,45.7,True,75.75,,,,
2026-04-21T06:52:32.353587+00:00,throughput,,False,,,,,,,,,17.671271,
2026-04-21T06:52:38.550603+00:00,fast,4,False,,True,True,49.3,True,69.87,,,,
2026-04-21T06:52:40.594061+00:00,fast,5,False,,True,True,85.2,True,77.4,,,,
2026-04-21T06:52:42.540748+00:00,fast,6,False,,True,True,34.9,True,75.42,,,,
2026-04-21T06:52:44.549371+00:00,fast,7,False,,True,True,45.9,True,70.79,,,,
2026-04-21T06:52:46.570375+00:00,fast,8,False,,True,True,45.6,True,84.52,,,,
2026-04-21T06:52:48.621345+00:00,fast,9,False,,True,True,52.8,True,135.59,,,,
2026-04-21T06:52:50.557623+00:00,fast,10,False,,True,True,46.5,True,77.34,,,,
2026-04-21T06:52:52.566524+00:00,fast,11,False,,True,True,49.7,True,83.5,,,,
2026-04-21T06:52:54.617062+00:00,fast,12,False,,True,True,48.0,True,110.58,,,,
2026-04-21T06:52:56.578529+00:00,fast,13,False,,True,True,45.6,True,97.08,,,,
2026-04-21T06:52:58.560201+00:00,fast,14,False,,True,True,52.7,True,71.42,,,,
2026-04-21T06:53:00.565273+00:00,fast,15,False,,True,True,47.7,True,82.94,,,,
2026-04-21T06:53:02.672811+00:00,fast,16,False,,True,True,54.5,True,158.43,,,,
2026-04-21T06:53:02.352500+00:00,telemetry,,False,,,,,,,37.247,0.0,,
2026-04-21T06:53:04.631756+00:00,fast,17,False,,True,True,65.5,True,125.16,,,,
2026-04-21T06:53:06.608438+00:00,fast,18,False,,True,True,99.2,True,74.75,,,,
2026-04-21T06:53:08.622320+00:00,fast,19,False,,True,True,32.5,True,148.22,,,,
2026-04-21T06:53:10.574334+00:00,fast,20,False,,True,True,51.4,True,82.19,,,,
2026-04-21T06:53:12.554509+00:00,fast,21,False,,True,True,48.1,True,69.42,,,,
2026-04-21T06:53:14.546519+00:00,fast,22,False,,True,True,30.1,True,78.92,,,,
2026-04-21T06:53:16.560673+00:00,fast,23,False,,True,True,49.2,True,73.92,,,,
2026-04-21T06:53:18.561774+00:00,fast,24,False,,True,True,46.1,True,76.9,,,,
2026-04-21T06:53:20.563859+00:00,fast,25,False,,True,True,49.0,True,76.19,,,,
2026-04-21T06:53:22.554187+00:00,fast,26,False,,True,True,46.2,True,69.16,,,,
2026-04-21T06:53:24.557640+00:00,fast,27,False,,True,True,47.8,True,69.62,,,,
2026-04-21T06:53:26.558092+00:00,fast,28,False,,True,True,46.8,True,71.57,,,,
2026-04-21T06:53:28.561064+00:00,fast,29,False,,True,True,47.9,True,73.89,,,,
2026-04-21T06:53:30.573384+00:00,fast,30,False,,True,True,66.5,True,67.64,,,,
